station_code,areas,region
1,"GODAVARI AT JAYAKWADI DAM, AURNaNGABAD,MAHARASHTRA",MAHARASHTRA
2,GODAVARI RIVER NEAR SOMESHWAR TEMPLE.,MAHARASHTRA
3,GODAVARI RIVER AT SAIKHEDA.,MAHARASHTRA
4,"GODAVARI RIVER AT HANUMAN GHAT, NaNSHIK CITY.",MAHARASHTRA
5,GODAVARI RIVER AT NaNDUR- MADMESHWAR DAM.,MAHARASHTRA
6,"GODAVARI RIVER AT KAPILA- GODAVARI CONFLUENCE POINT, TAPOVAN.",MAHARASHTRA
7,GODAVARI RIVER NEAR TAPOVAN.,MAHARASHTRA
8,"GODAVARI AT PANCHAVATI AT RAMKUND,MAHARASHTRA",MAHARASHTRA
9,"GODAVARI AT NaNSIK D/S, MAHARASHTRA",MAHARASHTRA
10,"GODAVARI AT U/S OF GANGAPUR DAM,NaNSIK,MAHARASHTRA",MAHARASHTRA
11,"GODAVARI RIVER AT U/S OF AURANGABAD RESERVOIR, KAIGAON TOKKA NEAR KAIGAON BRIDGE.",MAHARASHTRA
12,GODAVARI RIVER AT U/S OF PAITHAN AT PAITHAN INTAKE PUMP HOUSE AT JAYAKWADI�,MAHARASHTRA
13,GODAVARI RIVER AT D/S OF PAITHAN AT PATHEGAON BRIDGE.,MAHARASHTRA
14,"GODAVARI RIVER AT JALNaN INTAKE WATER PUMP HOUSE, SHAHABAD.",MAHARASHTRA
15,"GODAVARI AT DHALEGAON, MAHARASHTRA",MAHARASHTRA
16,"GODAVARI AT RAHER, MAHARASHTRA",MAHARASHTRA
17,GODAVARI RIVER AT LATUR WATER INTAKE NEAR PUMP HOUSE AT DHAMEGAON.,MAHARASHTRA
18,"GODAVARI AT BASARA, ADILABAD",ANDHRA PRADESH
19,"GODAVARI��AT MANCHERIAL, NEAR RLY BDG B/C OF RALLAVAGU",ANDHRA PRADESH
20,"GODAVARI AT RAMAGUNDAM D/S, NEAR FCI INTAKE WELL, KARIMNaNGAR",ANDHRA PRADESH
21,"GODAVARI AT GODAVARIKHANI, NEAR BATHING GHAT, KARIMNaNGAR",ANDHRA PRADESH
22,"GODAVARI AT RAMAGUNDAM U/S , KARIMNaNGAR",ANDHRA PRADESH
23,"GODAVARI,��D/S OF RAMANUGUNDAM,",ANDHRA PRADESH
24,"GODAVARI AT KAMALPUR U/S M/S AP RAYONS LTD. INTAKE WELL, WARANGAL",ANDHRA PRADESH
25,"GODAVARI AT KAMALPUR D/S AT M/S. AP RAYONS LTD. DISCHARGE POINT, WARANGAL",ANDHRA PRADESH
26,"GODAVARI AT MANCHERIAL, A.P.",ANDHRA PRADESH
27,"GODAVARI AT BHADRACHALAM U/S BATHING GHAT, KHAMMAM",ANDHRA PRADESH
28,"GODAVARI AT BHADRACHALAM D/S BATHING GHAT, KHAMMAM",ANDHRA PRADESH
29,"GODAVARI AT BURGAMPAHAD, KHAMMAM",ANDHRA PRADESH
30,GODAVARI AT RAJAMUNDRY U/S OF NaNLLA CHANNEL,ANDHRA PRADESH
32,"GODAVARI AT RAJAHMUNDRY U/S, A.P.",ANDHRA PRADESH
33,GODAVARI AT RAJAMUNDRY D/S OF NaNLLA CHANNEL,ANDHRA PRADESH
44,"GANGA AT GARHMUKTESHWAR, U.P",UTTAR PRADESH
45,"GANGA U/S, ANOOPSHAHAR",UTTAR PRADESH
46,"GANGA D/S, ANOOPSHAHAR",UTTAR PRADESH
47,"GANGA AT NaNRORA (BULANDSAHAR), U.P.",UTTAR PRADESH
48,"GANGA AT KACHHLA GHAT, ALIGARH",UTTAR PRADESH
49,"GANGA AT KANNaNUJ U/S (RAJGHAT), U.P",UTTAR PRADESH
50,"GANGA AT KANNaNUJ D/S, U.P",UTTAR PRADESH
51,"GANGA AT BITHOOR (KANPUR), U.P.",UTTAR PRADESH
52,"GANGA AT KANPUR U/S (RANIGHAT), U.P",UTTAR PRADESH
53,"GANGA AT KANPUR D/S (JAJMAU PUMPING STATION), U.P",UTTAR PRADESH
54,"GANGA AT DALMAU (RAI BAREILLY), U.P.",UTTAR PRADESH
55,"GANGA AT KALA KANKAR, RAEBARELI",UTTAR PRADESH
56,"GANGA AT ALLAHABAD (RASOOLABAD), U.P.",UTTAR PRADESH
57,"GANGA AT KADAGHAT, ALLAHABAD",UTTAR PRADESH
58,"GANGA AT ALLAHABAD D/S (SANGAM), U.P.",UTTAR PRADESH
59,"GANGA U/S, VINDHYACHAL, MIRZAPUR",UTTAR PRADESH
60,"GANGA D/S, MIRZAPUR",UTTAR PRADESH
61,"GANGA AT VARANaNSI U/S (ASSIGHAT), U.P",UTTAR PRADESH
62,"GANGA AT VARANaNSI D/S (MALVIYA BRIDGE), U.P",UTTAR PRADESH
63,"GANGA AT TRIGHAT (GHAZIPUR), U.P",UTTAR PRADESH
64,"SHUKRA TAL, MUZAFFARNaNGAR, NEAR GANGA RIVER",UTTAR PRADESH
65,"GANGA AT BUXAR,BIHAR",BIHAR
66,"GANGA AT BUXAR, RAMREKHAGHAT",BIHAR
67,"GANGA AT KHURJI, PATNaN U/S, BIHAR",BIHAR
68,"GANGA AT INDRAPURI, DEHRI ON SONE",BIHAR
69,"GANGA��AT THE CONFLUENCE OF SONE RIVER DORIGANJ, CHAPRA",BIHAR
70,GANGA DARBHANGA GHAT AT PATNaN,BIHAR
71,"GANGA AT PATNaN D/S (GANGA BRIDGE),BIHAR",BIHAR
72,"GANGA AT PUNPUN, PATNaN",BIHAR
73,GANGA AT FATUHA,BIHAR
74,GANGA AT MOKAMA (U/S),BIHAR
75,GANGA AT MOKAMA (D/S),BIHAR
76,GANGA AT MUNGER,BIHAR
77,"GANGA AT SULTANGANJ, BHAGALPUR",BIHAR
78,GANGA AT BHAGALPUR,BIHAR
79,GANGA AT KAHALGAON,BIHAR
80,GANGA AT D/S BUXAR NEAR GANGA BRIDGE,BIHAR
81,GANGA RIVER NEAR DANaNPUR (NEAR PIPAPUL),BIHAR
82,GANGA RIVER AT BARH,BIHAR
83,GANGA AT U/S MUNGER (NEAR INTAKE WELL ON GANGA),BIHAR
84,GANGA AT U/S SULTANGANJ,BIHAR
85,GANGA AT U/S BHAGALPUR,BIHAR
86,"GANGA AT MALSALAMI, PATNaN",BIHAR
87,GANGA RIVER AT BARAHIA,BIHAR
88,GANGA AT BAHARAMPORE WEST BENGAL,WEST BENGAL
89,"NaNBADIP ON GANGA,GHOSHPARA NEAR MONIPURGHAT",WEST BENGAL
90,"TRIBENI ON GANGA, NEAR BURNING GHAT",WEST BENGAL
91,"GANGA AT PALTA, WEST BENGAL",WEST BENGAL
92,"GANGA AT SERAMPORE, WEST BENGAL",WEST BENGAL
93,"GANGA AT DAKSHMINESWAR, WEST BENGAL",WEST BENGAL
94,"GANGA AT HOWRAH-SHIVPUR, WEST BENGAL",WEST BENGAL
95,"GANGA AT GARDEN REACH, WEST BENGAL",WEST BENGAL
96,"GANGA AT ULUBERIA, WEST BENGAL",WEST BENGAL
97,"GANGA AT DIAMOND HARBOUR, WEST BENGAL",WEST BENGAL
98,"BRAHAMPUTRA AT KHERGHAT (AFTER CONFL. WITH DIBANG & DIHANG),ASSAM",ASSAM
99,"BRAHAMPUTRA AT DIBRUGARH, ASSAM",ASSAM
100,"BRAHAMPUTRA AT NIMATIGHAT, ASSAM",ASSAM
101,"BRAHMPUTRA RIVER AT DHENUKHAPAHAR, ASSAM",ASSAM
102,"BRAHAMPUTRA AT PANDU, ASSAM",ASSAM
103,"BRAHAMPUTRA AT JOGIJHOGA NEAR BRIDGE, ASSAM",ASSAM
104,"BRAHMPUTRA RIVER NEAR WATER INTAKE POINT AT KACHARIGHAT, PANBAZAR, GUWAHATI, ASSAM",ASSAM
105,"BRAHMAPUTRA RIVER AT CHANDRAPUR, GUWAHATI",ASSAM
106,"BRAHMPUTRA RIVER AT SUALKUCHI, DIST. KAMRUP, ASSAM",ASSAM
107,BRAHMAPUTRA RIVER AT DHUBRI,ASSAM
108,"KRISHNaN AT MAHABALESHWAR DHOM DAM NEAR KOINaN DAM,MAHARASHTRA",MAHARASHTRA
110,"KRISHNaN AT KRISHNaN BRIDGE, KARAD, MAHARASHTRA",MAHARASHTRA
111,KRISHNaN D/S OF ISLAMPUR,MAHARASHTRA
113,"KRISHNaN AT KURUNDWAD IN KOLHAPUR,MAHARASHTRA",MAHARASHTRA
114,KRISHNaN RIVER AT KSHETRA MAHULI.,MAHARASHTRA
115,KRISHNaN RIVER AT KRISHNaN-VENNaN SANGAM AT MAHULI.,MAHARASHTRA
116,KRISHNaN RIVER AT WAI.,MAHARASHTRA
117,"KRISHNaN AT U/S OF UGARKHURD BARRAGE,KARNaNTAKA",KARNaNTAKA
118,KRISHNaN - ANKALI BRIDGE ALONG CHIKKODI KAGWAD ROAD,KARNaNTAKA
119,"KRISHNaN AT D/S OF NaNRAYANPURA DAM,KARNaNTAKA",KARNaNTAKA
