station_code,dis_oxy,ph,conduct,bod,nit,total_coli
1,6.4,8.1,735,3.4,2,73
2,6,8,270,3.1,2,182
3,5.5,7.8,355,4.2,9,133
4,5.5,7.8,371,5.6,3.55,283
5,5.7,7.9,294,3.2,2.69,132
6,4.5,7.5,513,12.6,2.3,320
7,5.2,7.7,475,10.3,1.9,343
8,5.6,7.7,385,3.8,1,292
9,5.2,7.8,410,5.2,1.5,218
10,6.5,7.8,178,2.5,1.99,74
11,6.2,7.9,749,3.5,1.75,80
12,6.4,8,834,4.7,1.8,77
13,6.2,8,925,4.2,6.9,82
14,6.5,8,730,4,2.9,78
15,7,7.9,637,4.7,6.5,80
16,6.4,8,656,3.6,1.8,82
17,6.6,8.1,601,3.2,6.75,80
18,5.5,8.1,826,1.7,1,161
19,6.9,9,526,12,0,285
20,5.7,8.5,575,13,0,700
21,3.2,8.8,803,15,0,1250
22,6.7,9,531,12.5,0,425
23,4.4,8.5,656,13,0,500
24,6.1,8.4,418,6.5,0,500
25,6.6,8.2,421,4,0,700
26,4.1,9.1,518,16.5,0,900
27,6,8.1,443,0.3,1,640
28,5.6,8,462,0.8,1,5280
29,6.1,7.9,666,1.8,0.84,1160
30,5.8,6.9,290,1.2,2.4,628
32,6.1,7.4,480,1.3,1.98,432
33,5.9,7,315,1.2,1.29,1100
44,9,7.4,242,2.5,0.4,1268
45,8,7.4,310,2.7,0.1,630
46,8.2,7.5,293,2.6,0.1,610
47,7.8,7.4,320,3.1,0.1,630
48,7.3,7.5,277,1.4,0,610
49,7.9,7.9,288,2.9,0.2,4467
50,7.3,7.9,276,3.2,0.3,5078
51,7.9,8.2,290,3,0.2,4256
52,7.5,8.2,307,3.4,0.2,4856
53,6.3,7.7,430,5.5,0.3,54333
54,8,7.8,213,3.7,0.8,8250
55,8.2,7.8,209,3.6,0.8,7967
56,8.7,8.3,385,3.6,1.7,29500
57,8.4,8.3,382,3.9,1.8,31833
58,8.5,8.3,404,4.2,2,32417
59,8.4,7.7,290,2.5,0.4,3078
60,8.4,7.6,299,2.6,0.5,6518
61,8.3,8.2,338,2.9,0,3950
62,7.8,8.5,385,4.5,0,47333
63,7.7,8.5,369,3.9,0,25667
64,8.6,8,290,1.8,0,125
65,8.4,8.1,371,2.5,0,3100
66,8.1,8.1,376,2.7,0,9350
67,8.1,8.1,376,2.3,0,3436
68,8.2,8.1,270,2.2,0,2033
69,8.3,8.2,311,2.5,0,3967
70,7.8,7.9,402,2.8,0,19091
71,7.9,8,402,2.7,0,11564
72,7.3,7.7,452,2.5,0,4573
73,8.1,8,386,2.3,0,4982
74,7.8,7.9,277,2.3,0,2770
75,7.7,7.8,295,2.6,0,9430
76,7.6,7.8,268,2.4,0,4411
77,7.7,7.8,280,2.5,0,3722
78,7.7,7.8,276,2.6,0,9044
79,7.8,7.9,265,2.7,0,8511
80,8.2,8.1,352,2.5,0,4683
