station_code,grade
1,F
2,F
3,F
4,F
5,F
6,F
7,E
8,D
9,E
10,B
11,E
12,E
13,F
14,F
15,F
16,E
17,F
18,B
19,F
20,F
21,F
22,F
23,F
24,D
25,D
26,F
27,C
28,D
29,C
30,C
32,B
33,C
44,C
45,C
46,C
47,D
48,C
49,C
50,D
51,D
52,D
53,E
54,D
55,D
56,E
57,E
58,F
59,C
60,D
61,C
62,F
63,F
64,B
65,C
66,D
67,C
68,C
69,C
70,D
71,D
72,C
73,C
74,C
75,D
76,C
77,C
78,D
79,D
80,C
81,C
82,C
83,C
84,C
85,C
86,D
87,C
88,F
89,F
90,F
91,F
92,F
93,F
94,F
95,F
96,F
97,F
98,E
99,E
100,F
101,F
102,F
103,E
104,F
105,F
106,E
107,F
108,F
110,E
111,B
113,B
114,F
115,F
116,E
117,C
118,C
119,C
120,C
121,C
122,C
124,C
126,C
127,C
128,C
129,C
130,C
131,C
134,A
135,A
139,F
140,F
141,F
142,E
144,C
145,C
147,C
148,F
149,E
150,D
151,C
152,B
153,C
154,C
155,C
156,C
157,B
158,D
159,D
160,D
161,D
162,D
163,D
164,D
165,A
166,A
167,A
168,A
169,A
170,A
171,A
172,A
173,A
174,A
176,F
177,E
178,B
181,F
182,D
185,B
187,A
188,C
189,B
193,B
195,F
199,B
200,B
202,F
206,A
208,E
210,B
211,D
212,C
213,C
214,C
215,E
216,E
217,C
218,C
219,F
220,C
221,E
222,E
223,F
224,D
225,E
233,D
235,D
236,D
237,F
238,F
239,D
240,C
241,E
242,F
243,D
244,D
245,D
246,B
247,D
248,B
249,D
250,C
251,C
252,C
253,C
254,C
255,C
256,C
257,C
258,C
259,C
260,C
261,C
262,D
263,D
264,D
265,C
266,D
267,C
268,C
269,C
270,C
271,D
272,C
273,C
274,C
275,C
276,D
277,C
278,D
279,C
280,C
281,E
282,C
283,E
284,C
285,C
287,C
288,C
289,E
290,F
291,F
292,F
293,F
294,F
295,F
296,F
297,F
298,F
299,F
300,F
301,F
302,D
303,A
304,A
305,A
306,E
307,B
308,A
309,B
310,A
311,D
312,D
313,D
314,D
315,F
316,E
317,D
318,D
319,F
320,D
321,F
323,D
324,F
325,D
326,E
327,D
328,D
329,D
330,D
336,D
337,D
338,D
339,D
340,D
341,D
342,D
343,D
351,F
352,F
353,F
354,F
355,F
356,F
357,F
358,F
359,D
360,F
361,C
362,D
363,D
364,D
365,D
366,D
367,C
368,D
369,D
370,C
371,C
372,D
373,C
374,D
375,D
376,D
377,C
378,C
379,D
380,C
381,D
382,E
383,D
384,E
385,D
386,D
387,D
388,C
389,C
390,E
393,D
394,B
395,B
396,B
397,B
398,C
401,D
402,D
403,F
404,F
405,F
406,F
407,B
408,B
409,A
410,F
411,E
412,E
413,F
414,E
415,D
416,F
417,B
418,F
419,F
420,F
421,F
422,F
423,F
424,C
426,D
427,F
428,E
429,D
430,D
431,D
432,F
433,F
434,F
435,F
436,F
437,C
438,C
439,D
440,C
441,F
442,E
443,B
444,B
445,C
446,D
447,D
448,D
449,C
450,B
451,B
452,C
453,F
454,D
455,D
456,F
457,D
458,D
459,B
460,C
464,B
465,C
466,C
467,C
468,C
469,F
470,F
471,C
472,B
473,D
474,B
475,D
476,E
477,D
478,E
479,C
481,F
482,F
483,F
484,F
489,D
490,D
499,F
500,F
501,B
502,D
503,B
504,B
505,B
506,F
507,F
508,B
509,B
510,B
511,B
512,F
513,F
514,F
515,F
519,B
520,D
521,C
522,B
523,A
524,B
525,C
526,B
527,B
528,C
529,C
530,C
531,B
532,C
533,C
534,F
600,B
601,C
602,B
603,B
604,B
605,B
606,C
607,C
608,C
609,C
610,C
611,C
612,C
613,C
614,E
615,C
616,B
617,C
618,B
619,B
620,E
621,E
622,B
623,F
624,C
625,B
626,C
627,F
628,B
629,C
630,B
631,C
632,C
633,B
634,B
635,C
636,D
637,C
638,C
639,C
640,B
641,C
642,C
643,B
644,C
645,B
646,C
647,C
648,B
649,C
650,B
651,C
652,E
653,C
654,C
655,C
656,C
657,C
658,D
659,C
660,B
661,C
662,C
663,C
664,C
665,C
666,C
667,C
668,C
669,B
670,C
671,B
672,B
673,C
674,C
675,B
676,B
677,C
678,C
679,D
680,E
681,E
682,D
683,D
684,D
685,C
686,C
687,D
688,D
694,B
695,B
696,C
697,C
698,B
699,C
700,E
701,B
702,B
703,C
704,B
705,B
706,B
707,F
733,B
734,B
735,B
736,C
737,F
738,A
739,A
740,B
741,F
742,B
743,B
744,B
745,B
746,B
747,C
748,F
749,F
750,A
751,A
752,C
753,B
754,B
755,A
756,B
757,A
758,A
759,B
760,F
761,F
762,F
763,F
764,B
765,B
766,B
767,F
768,F
769,F
770,B
771,A
772,A
774,B
777,B
778,D
779,E
781,B
782,B
784,D
786,B
788,C
790,B
793,D
796,D
797,C
798,D
799,C
800,D
801,C
802,D
803,D
804,D
805,C
806,E
807,D
808,C
809,D
810,C
811,C
812,C
813,C
814,D
815,D
816,C
817,E
818,C
819,D
820,D
821,C
822,C
823,D
824,D
825,D
826,D
827,D
828,F
829,B
830,D
831,E
832,F
833,D
834,F
835,E
836,D
837,F
838,D
839,D
840,D
841,E
842,D
843,F
844,F
845,F
846,F
847,F
848,D
849,D
850,D
851,D
852,D
853,D
854,D
855,B
856,F
857,B
858,C
859,C
860,C
861,C
862,B
863,B
864,C
865,B
866,B
867,C
868,C
869,C
870,C
871,B
872,F
873,C
874,C
875,B
876,C
877,C
878,E
879,E
880,C
881,F
882,C
883,B
884,B
885,F
886,B
887,B
888,C
889,C
890,C
891,B
892,B
893,F
894,C
895,C
896,C
897,C
898,B
899,B
900,C
901,B
902,C
903,B
904,B
905,C
906,C
907,C
908,B
909,C
910,C
911,C
912,C
913,C
914,C
915,C
916,C
917,C
918,C
919,C
920,C
921,C
922,F
923,B
924,B
925,C
926,B
927,B
928,C
929,B
930,B
931,C
932,C
933,B
934,C
935,B
936,B
937,D
938,F
939,E
940,E
941,F
942,C
943,F
944,F
945,E
946,F
952,B
953,E
954,E
955,F
956,D
957,E
958,E
959,D
960,D
961,E
962,D
963,F
964,F
965,F
966,F
967,F
968,F
969,F
970,F
971,F
972,F
973,F
974,F
975,F
976,F
977,F
982,C
983,A
984,A
985,A
986,D
987,C
988,B
989,B
990,B
991,B
992,B
993,B
994,B
995,B
996,B
997,F
998,A
999,A
1000,A
1001,A
1002,A
1003,B
1004,F
1005,F
1006,A
1007,B
1008,A
1009,A
1010,C
1011,F
1012,F
1013,A
1014,B
1015,B
1016,B
1017,A
1018,B
1019,A
1020,B
1021,A
1022,F
1023,F
1024,F
1025,F
1026,B
1027,B
1028,B
1029,F
1030,F
1031,F
1032,B
1037,B
1038,D
1039,E
1041,A
1042,D
1043,E
1044,F
1045,E
1047,C
1048,D
1049,C
1050,D
1051,D
1052,C
1053,C
1054,D
1055,C
1056,C
1057,E
1058,C
1059,C
1060,C
1061,C
1062,C
1063,C
1064,D
1065,C
1066,C
1067,E
1068,C
1069,C
1070,C
1071,C
1072,C
1073,E
1074,D
1075,D
1076,D
1077,D
1078,F
1079,F
1080,D
1081,D
1082,F
1083,D
1084,F
1085,B
1086,D
1087,B
1088,E
1089,D
1090,D
1091,D
1092,B
1093,B
1094,F
1095,B
1096,D
1097,F
1098,F
1099,D
1100,D
1101,B
1102,D
1103,D
1104,D
1105,B
1106,D
1107,B
1108,B
1109,B
1110,C
1111,C
1112,C
1113,C
1114,C
1115,C
1116,C
1117,C
1118,C
1119,C
1120,C
1121,C
1122,C
1123,B
1124,E
1125,C
1126,C
1127,C
1128,C
1129,C
1130,E
1131,E
1132,C
1133,F
1134,C
1135,B
1136,B
1137,F
1138,C
1139,B
1140,B
1141,B
1142,C
1143,C
1144,C
1145,B
1146,C
1147,C
1148,C
1149,C
1150,B
1151,B
1152,C
1153,B
1154,C
1155,B
1156,B
1157,C
1158,C
1159,C
1160,B
1161,C
1162,C
1163,C
1164,C
1165,C
1166,C
1167,C
1168,C
1169,C
1170,C
1171,C
1172,C
1173,C
1174,C
1175,B
1176,B
1177,C
1178,B
1179,C
1180,C
1181,B
1182,B
1183,C
1184,C
1185,B
1186,C
1189,D
1190,D
1191,E
1192,C
1193,D
1194,E
1195,C
1196,C
1197,C
1198,C
1204,C
1205,B
1206,B
1207,D
1208,B
1209,B
1210,B
1211,D
1212,B
1213,B
1214,D
1215,D
1216,D
1217,F
1219,F
1220,F
1221,F
1222,F
1223,F
1224,F
1225,F
1226,F
1227,F
1228,F
1229,F
1230,F
1234,C
1235,A
1236,A
1237,A
1239,F
1240,A
1241,B
1242,A
1243,B
1285,B
1286,B
1287,B
1288,B
1289,F
1290,A
1291,A
1292,A
1293,F
1294,C
1295,A
1296,B
1297,A
1298,A
1299,C
1300,C
1301,C
1302,A
1303,A
1304,B
1305,A
1306,A
1307,A
1308,A
1309,A
1310,A
1311,A
1312,F
1313,F
1314,F
1315,F
1316,A
1317,A
1318,A
1319,F
1320,F
1321,F
1322,B
1323,A
1324,A
1325,B
1326,B
1327,C
1328,C
1330,D
1331,D
1334,F
1341,A
1342,F
1343,C
1344,D
1345,D
1346,D
1347,F
1348,E
1349,E
1350,D
1352,C
1353,B
1354,C
1355,B
1356,C
1357,F
1358,C
1359,C
1360,F
1361,C
1362,C
1363,F
1364,F
1365,C
1366,C
1367,C
1368,F
1369,D
1371,D
1372,D
1373,F
1374,F
1375,D
1376,D
1377,F
1378,D
