region,num_of_stations,num_stations_pot,percent potable
MIZORAM,10,10,100
TAMIL NaNDU,1,1,100
KERALA,277,253,91.3357400722022
RAJASTHAN,45,40,88.8888888888889
HIMACHAL PRADESH,28,24,85.7142857142857
ANDHRA PRADESH,48,36,75
MEGHALAYA,125,91,72.8
KARNaNTAKA,61,44,72.1311475409836
BIHAR,60,43,71.6666666666667
MADHYA PRADESH,23,14,60.8695652173913
GOA,108,56,51.8518518518518
TAMILNaNDU,49,21,42.8571428571429
ORISSA,30,12,40
UTTAR PRADESH,47,13,27.6595744680851
ASSAM,22,6,27.2727272727273
GUJARAT,36,8,22.2222222222222
TRIPURA,10,2,20
ODISHA,10,2,20
MAHARASHTRA,195,23,11.7948717948718
