station_code,potable
1,0
2,0
3,0
4,0
5,0
6,0
7,0
8,0
9,0
10,1
11,0
12,0
13,0
14,0
15,0
16,0
17,0
18,1
19,0
20,0
21,0
22,0
23,0
24,0
25,0
26,0
27,1
28,0
29,1
30,1
32,1
33,1
44,1
45,1
46,1
47,0
48,1
49,1
50,0
51,0
52,0
53,0
54,0
55,0
56,0
57,0
58,0
59,1
60,0
61,1
62,0
63,0
64,1
65,1
66,0
67,1
68,1
69,1
70,0
71,0
72,1
73,1
74,1
75,0
76,1
77,1
78,0
79,0
80,1
81,1
82,1
83,1
84,1
85,1
86,0
87,1
88,0
89,0
90,0
91,0
92,0
93,0
94,0
95,0
96,0
97,0
98,0
99,0
100,0
101,0
102,0
103,0
104,0
105,0
106,0
107,0
108,0
110,0
111,1
113,1
114,0
115,0
116,0
117,1
118,1
119,1
120,1
121,1
122,1
124,1
126,1
127,1
128,1
129,1
130,1
131,1
134,1
135,1
139,0
140,0
141,0
142,0
144,1
145,1
147,1
148,0
149,0
150,0
151,1
152,1
153,1
154,1
155,1
156,1
157,1
158,0
159,0
160,0
161,0
162,0
163,0
164,0
165,1
166,1
167,1
168,1
169,1
170,1
171,1
172,1
173,1
174,1
176,0
177,0
178,1
181,0
182,0
185,1
187,1
188,1
189,1
193,1
195,0
199,1
200,1
202,0
206,1
208,0
210,1
211,0
212,1
213,1
214,1
215,0
216,0
217,1
218,1
219,0
220,1
221,0
222,0
223,0
224,0
225,0
233,0
235,0
236,0
237,0
238,0
239,0
240,1
241,0
242,0
243,0
244,0
245,0
246,1
247,0
248,1
249,0
250,1
251,1
252,1
253,1
254,1
255,1
256,1
257,1
258,1
259,1
260,1
261,1
262,0
263,0
264,0
265,1
266,0
267,1
268,1
269,1
270,1
271,0
272,1
273,1
274,1
275,1
276,0
277,1
278,0
279,1
280,1
281,0
282,1
283,0
284,1
285,1
287,1
288,1
289,0
290,0
291,0
292,0
293,0
294,0
295,0
296,0
297,0
298,0
299,0
300,0
301,0
302,0
303,1
304,1
305,1
306,0
307,1
308,1
309,1
310,1
311,0
312,0
313,0
314,0
315,0
316,0
317,0
318,0
319,0
320,0
321,0
323,0
324,0
325,0
326,0
327,0
328,0
329,0
330,0
