STATION CODE,STATE,District,Lat,Lng
1,Maharashtra,Aurangabad district,19.8911,75.1545
2,Maharashtra,Nashik district,20.0005,73.7827
3,Maharashtra,Nashik district,20.0005,73.7827
4,Maharashtra,Nashik district,20.0005,73.7827
5,Maharashtra,Nandurbar,21.3723,74.2426
6,Maharashtra,Nashik district,20.0005,73.7827
7,Maharashtra,Nashik district,20.0005,73.7827
8,Maharashtra,Nashik district,20.0005,73.7827
9,Maharashtra,Nashik district,20.0005,73.7827
10,Maharashtra,Nashik district,20.0005,73.7827
11,Maharashtra,Aurangabad district,19.8911,75.1545
12,Maharashtra,Aurangabad district,19.8911,75.1545
13,Maharashtra,Aurangabad district,19.8911,75.1545
14,Maharashtra,Jalna,19.8300,75.8800
15,Maharashtra,Latur district,18.4000,76.5800
16,Maharashtra,Thane,19.4305,72.9656
17,Maharashtra,Amravati,20.9297,77.7581
18,Andhra Pradesh,East Godavari district,17.3213,82.0407
19,Andhra Pradesh,East Godavari district,17.3213,82.0407
20,Andhra Pradesh,East Godavari district,17.3213,82.0407
21,Andhra Pradesh,East Godavari district,17.3213,82.0407
22,Andhra Pradesh,East Godavari district,17.3213,82.0407
23,Andhra Pradesh,East Godavari district,17.3213,82.0407
24,Andhra Pradesh,East Godavari district,17.3213,82.0407
25,Andhra Pradesh,East Godavari district,17.3213,82.0407
26,Andhra Pradesh,East Godavari district,17.3213,82.0407
27,Andhra Pradesh,East Godavari district,17.3213,82.0407
28,Andhra Pradesh,East Godavari district,17.3213,82.0407
29,Andhra Pradesh,East Godavari district,17.3213,82.0407
30,Andhra Pradesh,East Godavari district,17.3213,82.0407
32,Andhra Pradesh,East Godavari district,17.3213,82.0407
33,Andhra Pradesh,East Godavari district,17.3213,82.0407
44,Uttar Pradesh,Bulandshahr district,28.4170,77.8330
45,Uttar Pradesh,Bulandshahr district,28.4170,77.8330
46,Uttar Pradesh,Bulandshahr district,28.4170,77.8330
47,Uttar Pradesh,Bulandshahr district,28.4170,77.8330
48,Uttar Pradesh,Budaun district,28.1299,78.9288
49,Uttar Pradesh,Kannauj district,27.0297,79.6951
50,Uttar Pradesh,Kannauj district,27.0297,79.6951
51,Uttar Pradesh,Kanpur,26.3397,80.2929
52,Uttar Pradesh,Kanpur,26.3397,80.2929
53,Uttar Pradesh,Kanpur,26.3397,80.2929
54,Uttar Pradesh,Kanpur,26.3397,80.2929
55,Uttar Pradesh,Kanpur,26.3397,80.2929
56,Uttar Pradesh,Allahabad,26.0138,81.3126
57,Uttar Pradesh,Allahabad,26.0138,81.3126
58,Uttar Pradesh,Allahabad,26.0138,81.3126
59,Uttar Pradesh,Mirzapur,25.1500,82.6000
60,Uttar Pradesh,Mirzapur,25.1500,82.6000
61,Uttar Pradesh,Varanasi,25.2820,82.9563
62,Uttar Pradesh,Varanasi,25.2820,82.9563
63,Uttar Pradesh,Kannauj district,27.0514,79.9137
64,Uttar Pradesh,Muzaffarnagar,29.4723,77.7089
65,Bihar,Buxar,25.5610,83.9807
66,Bihar,Buxar,25.5610,83.9807
67,Bihar,Patna,25.6110,85.1440
68,Bihar,Rohtas district,25.0686,84.0167
69,Bihar,Saran district,25.856,84.8568
70,Bihar,Patna,25.6110,85.1440
71,Bihar,Patna,25.6110,85.1440
72,Bihar,Patna,25.6110,85.1440
73,Bihar,Patna,25.6110,85.1440
74,Bihar,Patna,25.6110,85.1440
75,Bihar,Patna,25.6110,85.1440
76,Bihar,Munger,25.3868,86.4659
77,Bihar,Bhagalpur,25.2413,86.9901
78,Bihar,Bhagalpur,25.2413,86.9901
79,Bihar,Bhagalpur,25.2413,86.9901
80,Bihar,Buxar,25.5610,83.9807
81,Bihar,Buxar,25.5610,83.9807
82,Bihar,Barh,25.4800,85.7200
83,Bihar,Munger,25.3868,86.4659
84,Bihar,Munger,25.3868,86.4659
85,Bihar,Bhagalpur,25.2413,86.9901
86,Bihar,Patna,25.6110,85.1440
87,Bihar,Patna,25.6110,85.1440
88,West Bengal,Murshidabad,24.1733,88.2777
89,West Bengal,Nadia district,23.471,88.5565
90,West Bengal,Hooghly district,22.8956,88.4025
91,West Bengal,North 24 Parganas district,22.1300,88.5000
92,West Bengal,Hooghly district,22.8956,88.4025
93,West Bengal,North 24 Parganas district,22.1300,88.5000
94,West Bengal,Howrah district,22.5892,88.3103
95,West Bengal,Howrah district,22.5892,88.3103
96,West Bengal,Howrah district,22.5892,88.3103
97,West Bengal,Howrah district,22.5892,88.3103
98,Assam,Dibrugarh,27.4800,95.0000
99,Assam,Dibrugarh,27.4800,95.0000
100,Assam,Jorhat,26.7749,94.1814
101,Assam,Jorhat,26.7749,94.1814
102,Assam,Kamrup district,26.3161,91.5984
103,Assam,Kamrup district,26.3161,91.5984
104,Assam,Kamrup district,26.3161,91.5984
105,Assam,Kamrup district,26.3161,91.5984
106,Assam,Kamrup district,26.3161,91.5984
107,Assam,Dhubri,26.1221,90.0919
108,Maharashtra,Amravati,20.9297,77.7581
110,Maharashtra,Amravati,20.9297,77.7581
111,Maharashtra,Sangli district,17.1707,74.6869
113,Maharashtra,Kolhapur district,16.5764,74.124
114,Maharashtra,Thane,19.4305,72.9656
115,Maharashtra,Thane,19.4305,72.9656
116,Maharashtra,Raigad Fort,18.2350,73.4478
117,Karnataka,Belgaum,15.8528,74.5111
118,Karnataka,Belgaum,15.8528,74.5111
119,Karnataka,Belgaum,15.8528,74.5111
120,Karnataka,Belgaum,15.8528,74.5111
121,Karnataka,Belgaum,15.8528,74.5111
122,Karnataka,Belgaum,15.8528,74.5111
124,Andhra Pradesh,East Godavari district,17.3213,82.0407
126,Andhra Pradesh,Krishna district,16.61,80.7214
127,Andhra Pradesh,Guntur district,16.3067,80.4365
128,Andhra Pradesh,Guntur district,16.3067,80.4365
129,Andhra Pradesh,Krishna district,16.61,80.7214
130,Andhra Pradesh,Krishna district,16.61,80.7214
131,Andhra Pradesh,Guntur district,16.3067,80.4365
134,Himachal Pradesh,Una district,31.5602,76.2247
135,Himachal Pradesh,Una district,31.5602,76.2247
139,Uttar Pradesh,Mathura,27.4763,77.6935
140,Uttar Pradesh,Mathura,27.4763,77.6935
141,Uttar Pradesh,Mathura,27.4763,77.6935
142,Uttar Pradesh,Mathura,27.4763,77.6935
144,Karnataka,"Hassan, Karnataka",13.0120,76.0680
145,Karnataka,"Hassan, Karnataka",13.0120,76.0680
147,Karnataka,Ramanagara,12.7201,77.2834
148,Karnataka,Ramanagara,12.7201,77.2834
149,Karnataka,Ramanagara,12.7201,77.2834
150,Karnataka,Mysore,12.3000,76.6500
151,Karnataka,Mysore,12.3000,76.6500
152,Kerala,Kollam,8.8800,76.6000
153,Karnataka,Mysore,12.3000,76.6500
