STATION CODE|LOCATIONS|STATE|TEMP|DO|pH|CONDUCTIVITY|BOD|NITRATE_N_NITRITE_N|FECAL_COLIFORM|TOTAL_COLIFORM
1|GODAVARI AT JAYAKWADI DAM, AURNaNGABAD,MAHARASHTRA|MAHARASHTRA|29.2|6.4|8.1|735.0|3.4|2.0|3.0|73.0
2|GODAVARI RIVER NEAR SOMESHWAR TEMPLE.|MAHARASHTRA|24.5|6.0|8.0|270.0|3.1|2.0|72.0|182.0
3|GODAVARI RIVER AT SAIKHEDA.|MAHARASHTRA|25.8|5.5|7.8|355.0|4.2|9.0|59.0|133.0
4|GODAVARI RIVER AT HANUMAN GHAT, NaNSHIK CITY.|MAHARASHTRA|24.8|5.5|7.8|371.0|5.6|3.55|90.0|283.0
5|GODAVARI RIVER AT NaNDUR- MADMESHWAR DAM.|MAHARASHTRA|25.7|5.7|7.9|294.0|3.2|2.69|45.0|132.0
6|GODAVARI RIVER AT KAPILA- GODAVARI CONFLUENCE POINT, TAPOVAN.|MAHARASHTRA|25.0|4.5|7.5|513.0|12.6|2.3|131.0|320.0
7|GODAVARI RIVER NEAR TAPOVAN.|MAHARASHTRA|24.8|5.2|7.7|475.0|10.3|1.9|122.0|343.0
8|GODAVARI AT PANCHAVATI AT RAMKUND,MAHARASHTRA|MAHARASHTRA|26.3|5.6|7.7|385.0|3.8|1.0|110.0|292.0
9|GODAVARI AT NaNSIK D/S, MAHARASHTRA|MAHARASHTRA|26.5|5.2|7.8|410.0|5.2|1.5|77.0|218.0
10|GODAVARI AT U/S OF GANGAPUR DAM,NaNSIK,MAHARASHTRA|MAHARASHTRA|26.0|6.5|7.8|178.0|2.5|1.99|22.0|74.0
11|GODAVARI RIVER AT U/S OF AURANGABAD RESERVOIR, KAIGAON TOKKA NEAR KAIGAON BRIDGE.|MAHARASHTRA|29.2|6.2|7.9|749.0|3.5|1.75|2.0|80.0
12|GODAVARI RIVER AT U/S OF PAITHAN AT PAITHAN INTAKE PUMP HOUSE AT JAYAKWADI�|MAHARASHTRA|29.5|6.4|8.0|834.0|4.7|1.8|2.0|77.0
13|GODAVARI RIVER AT D/S OF PAITHAN AT PATHEGAON BRIDGE.|MAHARASHTRA|30.2|6.2|8.0|925.0|4.2|6.9|2.0|82.0
14|GODAVARI RIVER AT JALNaN INTAKE WATER PUMP HOUSE, SHAHABAD.|MAHARASHTRA|26.7|6.5|8.0|730.0|4.0|2.9|2.0|78.0
15|GODAVARI AT DHALEGAON, MAHARASHTRA|MAHARASHTRA|27.2|7.0|7.9|637.0|4.7|6.5|2.0|80.0
16|GODAVARI AT RAHER, MAHARASHTRA|MAHARASHTRA|29.7|6.4|8.0|656.0|3.6|1.8|3.0|82.0
17|GODAVARI RIVER AT LATUR WATER INTAKE NEAR PUMP HOUSE AT DHAMEGAON.|MAHARASHTRA|26.0|6.6|8.1|601.0|3.2|6.75|2.0|80.0
18|GODAVARI AT BASARA, ADILABAD|ANDHRA PRADESH|28.0|5.5|8.1|826.0|1.7|1.0|27.0|161.0
19|GODAVARI��AT MANCHERIAL, NEAR RLY BDG B/C OF RALLAVAGU|ANDHRA PRADESH|31.0|6.9|9.0|526.0|12.0|0.0|130.0|285.0
20|GODAVARI AT RAMAGUNDAM D/S, NEAR FCI INTAKE WELL, KARIMNaNGAR|ANDHRA PRADESH|30.0|5.7|8.5|575.0|13.0|0.0|240.0|700.0
21|GODAVARI AT GODAVARIKHANI, NEAR BATHING GHAT, KARIMNaNGAR|ANDHRA PRADESH|30.5|3.2|8.8|803.0|15.0|0.0|500.0|1250.0
22|GODAVARI AT RAMAGUNDAM U/S , KARIMNaNGAR|ANDHRA PRADESH|30.5|6.7|9.0|531.0|12.5|0.0|130.0|425.0
23|GODAVARI,��D/S OF RAMANUGUNDAM,|ANDHRA PRADESH|29.0|4.4|8.5|656.0|13.0|0.0|300.0|500.0
24|GODAVARI AT KAMALPUR U/S M/S AP RAYONS LTD. INTAKE WELL, WARANGAL|ANDHRA PRADESH|30.0|6.1|8.4|418.0|6.5|0.0|300.0|500.0
