STATION CODE,LOCATIONS,STATE
1312,"GODAVARI AT JAYAKWADI DAM, AURNaNGABAD,MAHARASHTRA",MAHARASHTRA
2177,GODAVARI RIVER NEAR SOMESHWAR TEMPLE.,MAHARASHTRA
2182,GODAVARI RIVER AT SAIKHEDA.,MAHARASHTRA
2179,"GODAVARI RIVER AT HANUMAN GHAT, NaNSHIK CITY.",MAHARASHTRA
2183,GODAVARI RIVER AT NaNDUR- MADMESHWAR DAM.,MAHARASHTRA
2181,"GODAVARI RIVER AT KAPILA- GODAVARI CONFLUENCE POINT, TAPOVAN.",MAHARASHTRA
2180,GODAVARI RIVER NEAR TAPOVAN.,MAHARASHTRA
1096,"GODAVARI AT PANCHAVATI AT RAMKUND,MAHARASHTRA",MAHARASHTRA
1211,"GODAVARI AT NaNSIK D/S, MAHARASHTRA",MAHARASHTRA
1095,"GODAVARI AT U/S OF GANGAPUR DAM,NaNSIK,MAHARASHTRA",MAHARASHTRA
2160,"GODAVARI RIVER AT U/S OF AURANGABAD RESERVOIR, KAIGAON TOKKA NEAR KAIGAON BRIDGE.",MAHARASHTRA
2158,GODAVARI RIVER AT U/S OF PAITHAN AT PAITHAN INTAKE PUMP HOUSE AT JAYAKWADI�,MAHARASHTRA
2159,GODAVARI RIVER AT D/S OF PAITHAN AT PATHEGAON BRIDGE.,MAHARASHTRA
2161,"GODAVARI RIVER AT JALNaN INTAKE WATER PUMP HOUSE, SHAHABAD.",MAHARASHTRA
12,"GODAVARI AT DHALEGAON, MAHARASHTRA",MAHARASHTRA
1209,"GODAVARI AT RAHER, MAHARASHTRA",MAHARASHTRA
2157,GODAVARI RIVER AT LATUR WATER INTAKE NEAR PUMP HOUSE AT DHAMEGAON.,MAHARASHTRA
2360,"GODAVARI AT BASARA, ADILABAD",ANDHRA PRADESH
2361,"GODAVARI��AT MANCHERIAL, NEAR RLY BDG B/C OF RALLAVAGU",ANDHRA PRADESH
2362,"GODAVARI AT RAMAGUNDAM D/S, NEAR FCI INTAKE WELL, KARIMNaNGAR",ANDHRA PRADESH
2363,"GODAVARI AT GODAVARIKHANI, NEAR BATHING GHAT, KARIMNaNGAR",ANDHRA PRADESH
2364,"GODAVARI AT RAMAGUNDAM U/S , KARIMNaNGAR",ANDHRA PRADESH
2356,"GODAVARI,��D/S OF RAMANUGUNDAM,",ANDHRA PRADESH
2365,"GODAVARI AT KAMALPUR U/S M/S AP RAYONS LTD. INTAKE WELL, WARANGAL",ANDHRA PRADESH
2366,"GODAVARI AT KAMALPUR D/S AT M/S. AP RAYONS LTD. DISCHARGE POINT, WARANGAL",ANDHRA PRADESH
13,"GODAVARI AT MANCHERIAL, A.P.",ANDHRA PRADESH
2367,"GODAVARI AT BHADRACHALAM U/S BATHING GHAT, KHAMMAM",ANDHRA PRADESH
2368,"GODAVARI AT BHADRACHALAM D/S BATHING GHAT, KHAMMAM",ANDHRA PRADESH
2369,"GODAVARI AT BURGAMPAHAD, KHAMMAM",ANDHRA PRADESH
2370,GODAVARI AT RAJAMUNDRY U/S OF NaNLLA CHANNEL,ANDHRA PRADESH
1218,"GODAVARI AT RAJAHMUNDRY U/S, A.P.",ANDHRA PRADESH
2371,GODAVARI AT RAJAMUNDRY D/S OF NaNLLA CHANNEL,ANDHRA PRADESH
1062,"GANGA AT GARHMUKTESHWAR, U.P",UTTAR PRADESH
2488,"GANGA U/S, ANOOPSHAHAR",UTTAR PRADESH
2489,"GANGA D/S, ANOOPSHAHAR",UTTAR PRADESH
1145,"GANGA AT NaNRORA (BULANDSAHAR), U.P.",UTTAR PRADESH
2490,"GANGA AT KACHHLA GHAT, ALIGARH",UTTAR PRADESH
1063,"GANGA AT KANNaNUJ U/S (RAJGHAT), U.P",UTTAR PRADESH
1066,"GANGA AT KANNaNUJ D/S, U.P",UTTAR PRADESH
1146,"GANGA AT BITHOOR (KANPUR), U.P.",UTTAR PRADESH
1067,"GANGA AT KANPUR U/S (RANIGHAT), U.P",UTTAR PRADESH
1068,"GANGA AT KANPUR D/S (JAJMAU PUMPING STATION), U.P",UTTAR PRADESH
1147,"GANGA AT DALMAU (RAI BAREILLY), U.P.",UTTAR PRADESH
2498,"GANGA AT KALA KANKAR, RAEBARELI",UTTAR PRADESH
1046,"GANGA AT ALLAHABAD (RASOOLABAD), U.P.",UTTAR PRADESH
2487,"GANGA AT KADAGHAT, ALLAHABAD",UTTAR PRADESH
1049,"GANGA AT ALLAHABAD D/S (SANGAM), U.P.",UTTAR PRADESH
2485,"GANGA U/S, VINDHYACHAL, MIRZAPUR",UTTAR PRADESH
2486,"GANGA D/S, MIRZAPUR",UTTAR PRADESH
1070,"GANGA AT VARANaNSI U/S (ASSIGHAT), U.P",UTTAR PRADESH
1071,"GANGA AT VARANaNSI D/S (MALVIYA BRIDGE), U.P",UTTAR PRADESH
1073,"GANGA AT TRIGHAT (GHAZIPUR), U.P",UTTAR PRADESH
2502,"SHUKRA TAL, MUZAFFARNaNGAR, NEAR GANGA RIVER",UTTAR PRADESH
1074,"GANGA AT BUXAR,BIHAR",BIHAR
2551,"GANGA AT BUXAR, RAMREKHAGHAT",BIHAR
1077,"GANGA AT KHURJI, PATNaN U/S, BIHAR",BIHAR
2556,"GANGA AT INDRAPURI, DEHRI ON SONE",BIHAR
2564,"GANGA��AT THE CONFLUENCE OF SONE RIVER DORIGANJ, CHAPRA",BIHAR
2552,GANGA DARBHANGA GHAT AT PATNaN,BIHAR
1079,"GANGA AT PATNaN D/S (GANGA BRIDGE),BIHAR",BIHAR
2555,"GANGA AT PUNPUN, PATNaN",BIHAR
2553,GANGA AT FATUHA,BIHAR
1817,GANGA AT MOKAMA (U/S),BIHAR
1815,GANGA AT MOKAMA (D/S),BIHAR
1818,GANGA AT MUNGER,BIHAR
2554,"GANGA AT SULTANGANJ, BHAGALPUR",BIHAR
1819,GANGA AT BHAGALPUR,BIHAR
1816,GANGA AT KAHALGAON,BIHAR
3113,GANGA AT D/S BUXAR NEAR GANGA BRIDGE,BIHAR
3114,GANGA RIVER NEAR DANaNPUR (NEAR PIPAPUL),BIHAR
3115,GANGA RIVER AT BARH,BIHAR
3116,GANGA AT U/S MUNGER (NEAR INTAKE WELL ON GANGA),BIHAR
3117,GANGA AT U/S SULTANGANJ,BIHAR
3118,GANGA AT U/S BHAGALPUR,BIHAR
3122,"GANGA AT MALSALAMI, PATNaN",BIHAR
3123,GANGA RIVER AT BARAHIA,BIHAR
1080,GANGA AT BAHARAMPORE WEST BENGAL,WEST BENGAL
2511,"NaNBADIP ON GANGA,GHOSHPARA NEAR MONIPURGHAT",WEST BENGAL
2506,"TRIBENI ON GANGA, NEAR BURNING GHAT",WEST BENGAL
1054,"GANGA AT PALTA, WEST BENGAL",WEST BENGAL
1472,"GANGA AT SERAMPORE, WEST BENGAL",WEST BENGAL
1053,"GANGA AT DAKSHMINESWAR, WEST BENGAL",WEST BENGAL
1471,"GANGA AT HOWRAH-SHIVPUR, WEST BENGAL",WEST BENGAL
1470,"GANGA AT GARDEN REACH, WEST BENGAL",WEST BENGAL
1052,"GANGA AT ULUBERIA, WEST BENGAL",WEST BENGAL
1469,"GANGA AT DIAMOND HARBOUR, WEST BENGAL",WEST BENGAL
1260,"BRAHAMPUTRA AT KHERGHAT (AFTER CONFL. WITH DIBANG & DIHANG),ASSAM",ASSAM
1030,"BRAHAMPUTRA AT DIBRUGARH, ASSAM",ASSAM
1262,"BRAHAMPUTRA AT NIMATIGHAT, ASSAM",ASSAM
1526,"BRAHMPUTRA RIVER AT DHENUKHAPAHAR, ASSAM",ASSAM
1031,"BRAHAMPUTRA AT PANDU, ASSAM",ASSAM
1299,"BRAHAMPUTRA AT JOGIJHOGA NEAR BRIDGE, ASSAM",ASSAM
2069,"BRAHMPUTRA RIVER NEAR WATER INTAKE POINT AT KACHARIGHAT, PANBAZAR, GUWAHATI, ASSAM",ASSAM
2064,"BRAHMAPUTRA RIVER AT CHANDRAPUR, GUWAHATI",ASSAM
2067,"BRAHMPUTRA RIVER AT SUALKUCHI, DIST. KAMRUP, ASSAM",ASSAM
2066,BRAHMAPUTRA RIVER AT DHUBRI,ASSAM
1194,"KRISHNaN AT MAHABALESHWAR DHOM DAM NEAR KOINaN DAM,MAHARASHTRA",MAHARASHTRA
36,"KRISHNaN AT KRISHNaN BRIDGE, KARAD, MAHARASHTRA",MAHARASHTRA
1906,KRISHNaN D/S OF ISLAMPUR,MAHARASHTRA
1310,"KRISHNaN AT KURUNDWAD IN KOLHAPUR,MAHARASHTRA",MAHARASHTRA
2187,KRISHNaN RIVER AT KSHETRA MAHULI.,MAHARASHTRA
