STATION CODE,LOCATIONS,STATE
1312.0,"GODAVARI AT JAYAKWADI DAM, AURNaNGABAD,MAHARASHTRA",MAHARASHTRA
2177.0,GODAVARI RIVER NEAR SOMESHWAR TEMPLE.,MAHARASHTRA
2182.0,GODAVARI RIVER AT SAIKHEDA.,MAHARASHTRA
2179.0,"GODAVARI RIVER AT HANUMAN GHAT, NaNSHIK CITY.",MAHARASHTRA
2183.0,GODAVARI RIVER AT NaNDUR- MADMESHWAR DAM.,MAHARASHTRA
2181.0,"GODAVARI RIVER AT KAPILA- GODAVARI CONFLUENCE POINT, TAPOVAN.",MAHARASHTRA
2180.0,GODAVARI RIVER NEAR TAPOVAN.,MAHARASHTRA
1096.0,"GODAVARI AT PANCHAVATI AT RAMKUND,MAHARASHTRA",MAHARASHTRA
1211.0,"GODAVARI AT NaNSIK D/S, MAHARASHTRA",MAHARASHTRA
1095.0,"GODAVARI AT U/S OF GANGAPUR DAM,NaNSIK,MAHARASHTRA",MAHARASHTRA
2160.0,"GODAVARI RIVER AT U/S OF AURANGABAD RESERVOIR, KAIGAON TOKKA NEAR KAIGAON BRIDGE.",MAHARASHTRA
2158.0,GODAVARI RIVER AT U/S OF PAITHAN AT PAITHAN INTAKE PUMP HOUSE AT JAYAKWADI�,MAHARASHTRA
2159.0,GODAVARI RIVER AT D/S OF PAITHAN AT PATHEGAON BRIDGE.,MAHARASHTRA
2161.0,"GODAVARI RIVER AT JALNaN INTAKE WATER PUMP HOUSE, SHAHABAD.",MAHARASHTRA
12.0,"GODAVARI AT DHALEGAON, MAHARASHTRA",MAHARASHTRA
1209.0,"GODAVARI AT RAHER, MAHARASHTRA",MAHARASHTRA
2157.0,GODAVARI RIVER AT LATUR WATER INTAKE NEAR PUMP HOUSE AT DHAMEGAON.,MAHARASHTRA
2360.0,"GODAVARI AT BASARA, ADILABAD",ANDHRA PRADESH
2361.0,"GODAVARI��AT MANCHERIAL, NEAR RLY BDG B/C OF RALLAVAGU",ANDHRA PRADESH
2362.0,"GODAVARI AT RAMAGUNDAM D/S, NEAR FCI INTAKE WELL, KARIMNaNGAR",ANDHRA PRADESH
2363.0,"GODAVARI AT GODAVARIKHANI, NEAR BATHING GHAT, KARIMNaNGAR",ANDHRA PRADESH
2364.0,"GODAVARI AT RAMAGUNDAM U/S , KARIMNaNGAR",ANDHRA PRADESH
2356.0,"GODAVARI,��D/S OF RAMANUGUNDAM,",ANDHRA PRADESH
2365.0,"GODAVARI AT KAMALPUR U/S M/S AP RAYONS LTD. INTAKE WELL, WARANGAL",ANDHRA PRADESH
2366.0,"GODAVARI AT KAMALPUR D/S AT M/S. AP RAYONS LTD. DISCHARGE POINT, WARANGAL",ANDHRA PRADESH
13.0,"GODAVARI AT MANCHERIAL, A.P.",ANDHRA PRADESH
2367.0,"GODAVARI AT BHADRACHALAM U/S BATHING GHAT, KHAMMAM",ANDHRA PRADESH
2368.0,"GODAVARI AT BHADRACHALAM D/S BATHING GHAT, KHAMMAM",ANDHRA PRADESH
2369.0,"GODAVARI AT BURGAMPAHAD, KHAMMAM",ANDHRA PRADESH
2370.0,GODAVARI AT RAJAMUNDRY U/S OF NaNLLA CHANNEL,ANDHRA PRADESH
1218.0,"GODAVARI AT RAJAHMUNDRY U/S, A.P.",ANDHRA PRADESH
2371.0,GODAVARI AT RAJAMUNDRY D/S OF NaNLLA CHANNEL,ANDHRA PRADESH
1062.0,"GANGA AT GARHMUKTESHWAR, U.P",UTTAR PRADESH
2488.0,"GANGA U/S, ANOOPSHAHAR",UTTAR PRADESH
2489.0,"GANGA D/S, ANOOPSHAHAR",UTTAR PRADESH
1145.0,"GANGA AT NaNRORA (BULANDSAHAR), U.P.",UTTAR PRADESH
2490.0,"GANGA AT KACHHLA GHAT, ALIGARH",UTTAR PRADESH
1063.0,"GANGA AT KANNaNUJ U/S (RAJGHAT), U.P",UTTAR PRADESH
1066.0,"GANGA AT KANNaNUJ D/S, U.P",UTTAR PRADESH
1146.0,"GANGA AT BITHOOR (KANPUR), U.P.",UTTAR PRADESH
1067.0,"GANGA AT KANPUR U/S (RANIGHAT), U.P",UTTAR PRADESH
1068.0,"GANGA AT KANPUR D/S (JAJMAU PUMPING STATION), U.P",UTTAR PRADESH
1147.0,"GANGA AT DALMAU (RAI BAREILLY), U.P.",UTTAR PRADESH
2498.0,"GANGA AT KALA KANKAR, RAEBARELI",UTTAR PRADESH
1046.0,"GANGA AT ALLAHABAD (RASOOLABAD), U.P.",UTTAR PRADESH
2487.0,"GANGA AT KADAGHAT, ALLAHABAD",UTTAR PRADESH
1049.0,"GANGA AT ALLAHABAD D/S (SANGAM), U.P.",UTTAR PRADESH
2485.0,"GANGA U/S, VINDHYACHAL, MIRZAPUR",UTTAR PRADESH
2486.0,"GANGA D/S, MIRZAPUR",UTTAR PRADESH
1070.0,"GANGA AT VARANaNSI U/S (ASSIGHAT), U.P",UTTAR PRADESH
1071.0,"GANGA AT VARANaNSI D/S (MALVIYA BRIDGE), U.P",UTTAR PRADESH
1073.0,"GANGA AT TRIGHAT (GHAZIPUR), U.P",UTTAR PRADESH
2502.0,"SHUKRA TAL, MUZAFFARNaNGAR, NEAR GANGA RIVER",UTTAR PRADESH
1074.0,"GANGA AT BUXAR,BIHAR",BIHAR
2551.0,"GANGA AT BUXAR, RAMREKHAGHAT",BIHAR
1077.0,"GANGA AT KHURJI, PATNaN U/S, BIHAR",BIHAR
2556.0,"GANGA AT INDRAPURI, DEHRI ON SONE",BIHAR
2564.0,"GANGA��AT THE CONFLUENCE OF SONE RIVER DORIGANJ, CHAPRA",BIHAR
2552.0,GANGA DARBHANGA GHAT AT PATNaN,BIHAR
1079.0,"GANGA AT PATNaN D/S (GANGA BRIDGE),BIHAR",BIHAR
2555.0,"GANGA AT PUNPUN, PATNaN",BIHAR
2553.0,GANGA AT FATUHA,BIHAR
1817.0,GANGA AT MOKAMA (U/S),BIHAR
1815.0,GANGA AT MOKAMA (D/S),BIHAR
1818.0,GANGA AT MUNGER,BIHAR
2554.0,"GANGA AT SULTANGANJ, BHAGALPUR",BIHAR
1819.0,GANGA AT BHAGALPUR,BIHAR
1816.0,GANGA AT KAHALGAON,BIHAR
3113.0,GANGA AT D/S BUXAR NEAR GANGA BRIDGE,BIHAR
3114.0,GANGA RIVER NEAR DANaNPUR (NEAR PIPAPUL),BIHAR
3115.0,GANGA RIVER AT BARH,BIHAR
3116.0,GANGA AT U/S MUNGER (NEAR INTAKE WELL ON GANGA),BIHAR
3117.0,GANGA AT U/S SULTANGANJ,BIHAR
3118.0,GANGA AT U/S BHAGALPUR,BIHAR
3122.0,"GANGA AT MALSALAMI, PATNaN",BIHAR
3123.0,GANGA RIVER AT BARAHIA,BIHAR
1080.0,GANGA AT BAHARAMPORE WEST BENGAL,WEST BENGAL
2511.0,"NaNBADIP ON GANGA,GHOSHPARA NEAR MONIPURGHAT",WEST BENGAL
2506.0,"TRIBENI ON GANGA, NEAR BURNING GHAT",WEST BENGAL
1054.0,"GANGA AT PALTA, WEST BENGAL",WEST BENGAL
1472.0,"GANGA AT SERAMPORE, WEST BENGAL",WEST BENGAL
1053.0,"GANGA AT DAKSHMINESWAR, WEST BENGAL",WEST BENGAL
1471.0,"GANGA AT HOWRAH-SHIVPUR, WEST BENGAL",WEST BENGAL
1470.0,"GANGA AT GARDEN REACH, WEST BENGAL",WEST BENGAL
1052.0,"GANGA AT ULUBERIA, WEST BENGAL",WEST BENGAL
1469.0,"GANGA AT DIAMOND HARBOUR, WEST BENGAL",WEST BENGAL
1260.0,"BRAHAMPUTRA AT KHERGHAT (AFTER CONFL. WITH DIBANG & DIHANG),ASSAM",ASSAM
1030.0,"BRAHAMPUTRA AT DIBRUGARH, ASSAM",ASSAM
1262.0,"BRAHAMPUTRA AT NIMATIGHAT, ASSAM",ASSAM
1526.0,"BRAHMPUTRA RIVER AT DHENUKHAPAHAR, ASSAM",ASSAM
1031.0,"BRAHAMPUTRA AT PANDU, ASSAM",ASSAM
1299.0,"BRAHAMPUTRA AT JOGIJHOGA NEAR BRIDGE, ASSAM",ASSAM
2069.0,"BRAHMPUTRA RIVER NEAR WATER INTAKE POINT AT KACHARIGHAT, PANBAZAR, GUWAHATI, ASSAM",ASSAM
2064.0,"BRAHMAPUTRA RIVER AT CHANDRAPUR, GUWAHATI",ASSAM
2067.0,"BRAHMPUTRA RIVER AT SUALKUCHI, DIST. KAMRUP, ASSAM",ASSAM
2066.0,BRAHMAPUTRA RIVER AT DHUBRI,ASSAM
1194.0,"KRISHNaN AT MAHABALESHWAR DHOM DAM NEAR KOINaN DAM,MAHARASHTRA",MAHARASHTRA
36.0,"KRISHNaN AT KRISHNaN BRIDGE, KARAD, MAHARASHTRA",MAHARASHTRA
1906.0,KRISHNaN D/S OF ISLAMPUR,MAHARASHTRA
1310.0,"KRISHNaN AT KURUNDWAD IN KOLHAPUR,MAHARASHTRA",MAHARASHTRA
2187.0,KRISHNaN RIVER AT KSHETRA MAHULI.,MAHARASHTRA
2188.0,KRISHNaN RIVER AT KRISHNaN-VENNaN SANGAM AT MAHULI.,MAHARASHTRA
2190.0,KRISHNaN RIVER AT WAI.,MAHARASHTRA
1182.0,"KRISHNaN AT U/S OF UGARKHURD BARRAGE,KARNaNTAKA",KARNaNTAKA
1889.0,KRISHNaN - ANKALI BRIDGE ALONG CHIKKODI KAGWAD ROAD,KARNaNTAKA
