STATION CODE,DO,pH,CONDUCTIVITY,BOD,NITRATE_N_NITRITE_N,TOTAL_COLIFORM
1312.0,6.4,8.1,735.0,3.4,2.0,73.0
2177.0,6.0,8.0,270.0,3.1,2.0,182.0
2182.0,5.5,7.8,355.0,4.2,9.0,133.0
2179.0,5.5,7.8,371.0,5.6,3.55,283.0
2183.0,5.7,7.9,294.0,3.2,2.69,132.0
2181.0,4.5,7.5,513.0,12.6,2.3,320.0
2180.0,5.2,7.7,475.0,10.3,1.9,343.0
1096.0,5.6,7.7,385.0,3.8,1.0,292.0
1211.0,5.2,7.8,410.0,5.2,1.5,218.0
1095.0,6.5,7.8,178.0,2.5,1.99,74.0
2160.0,6.2,7.9,749.0,3.5,1.75,80.0
2158.0,6.4,8.0,834.0,4.7,1.8,77.0
2159.0,6.2,8.0,925.0,4.2,6.9,82.0
2161.0,6.5,8.0,730.0,4.0,2.9,78.0
12.0,7.0,7.9,637.0,4.7,6.5,80.0
1209.0,6.4,8.0,656.0,3.6,1.8,82.0
2157.0,6.6,8.1,601.0,3.2,6.75,80.0
2360.0,5.5,8.1,826.0,1.7,1.0,161.0
2361.0,6.9,9.0,526.0,12.0,0.0,285.0
2362.0,5.7,8.5,575.0,13.0,0.0,700.0
2363.0,3.2,8.8,803.0,15.0,0.0,1250.0
2364.0,6.7,9.0,531.0,12.5,0.0,425.0
2356.0,4.4,8.5,656.0,13.0,0.0,500.0
2365.0,6.1,8.4,418.0,6.5,0.0,500.0
2366.0,6.6,8.2,421.0,4.0,0.0,700.0
13.0,4.1,9.1,518.0,16.5,0.0,900.0
2367.0,6.0,8.1,443.0,0.3,1.0,640.0
2368.0,5.6,8.0,462.0,0.8,1.0,5280.0
2369.0,6.1,7.9,666.0,1.8,0.84,1160.0
2370.0,5.8,6.9,290.0,1.2,2.4,628.0
1218.0,6.1,7.4,480.0,1.3,1.98,432.0
2371.0,5.9,7.0,315.0,1.2,1.29,1100.0
1062.0,9.0,7.4,242.0,2.5,0.4,1268.0
2488.0,8.0,7.4,310.0,2.7,0.1,630.0
2489.0,8.2,7.5,293.0,2.6,0.1,610.0
1145.0,7.8,7.4,320.0,3.1,0.1,630.0
2490.0,7.3,7.5,277.0,1.4,0.0,610.0
1063.0,7.9,7.9,288.0,2.9,0.2,4467.0
1066.0,7.3,7.9,276.0,3.2,0.3,5078.0
1146.0,7.9,8.2,290.0,3.0,0.2,4256.0
1067.0,7.5,8.2,307.0,3.4,0.2,4856.0
1068.0,6.3,7.7,430.0,5.5,0.3,54333.0
1147.0,8.0,7.8,213.0,3.7,0.8,8250.0
2498.0,8.2,7.8,209.0,3.6,0.8,7967.0
1046.0,8.7,8.3,385.0,3.6,1.7,29500.0
2487.0,8.4,8.3,382.0,3.9,1.8,31833.0
1049.0,8.5,8.3,404.0,4.2,2.0,32417.0
2485.0,8.4,7.7,290.0,2.5,0.4,3078.0
2486.0,8.4,7.6,299.0,2.6,0.5,6518.0
1070.0,8.3,8.2,338.0,2.9,0.0,3950.0
1071.0,7.8,8.5,385.0,4.5,0.0,47333.0
1073.0,7.7,8.5,369.0,3.9,0.0,25667.0
2502.0,8.6,8.0,290.0,1.8,0.0,125.0
1074.0,8.4,8.1,371.0,2.5,0.0,3100.0
2551.0,8.1,8.1,376.0,2.7,0.0,9350.0
1077.0,8.1,8.1,376.0,2.3,0.0,3436.0
2556.0,8.2,8.1,270.0,2.2,0.0,2033.0
2564.0,8.3,8.2,311.0,2.5,0.0,3967.0
2552.0,7.8,7.9,402.0,2.8,0.0,19091.0
1079.0,7.9,8.0,402.0,2.7,0.0,11564.0
2555.0,7.3,7.7,452.0,2.5,0.0,4573.0
2553.0,8.1,8.0,386.0,2.3,0.0,4982.0
1817.0,7.8,7.9,277.0,2.3,0.0,2770.0
1815.0,7.7,7.8,295.0,2.6,0.0,9430.0
1818.0,7.6,7.8,268.0,2.4,0.0,4411.0
2554.0,7.7,7.8,280.0,2.5,0.0,3722.0
1819.0,7.7,7.8,276.0,2.6,0.0,9044.0
1816.0,7.8,7.9,265.0,2.7,0.0,8511.0
3113.0,8.2,8.1,352.0,2.5,0.0,4683.0
3114.0,8.1,8.1,375.0,2.4,0.0,2855.0
3115.0,7.8,7.9,260.0,2.2,0.0,2529.0
3116.0,7.8,7.9,267.0,2.3,0.0,2478.0
3117.0,7.8,7.9,270.0,2.3,0.0,2844.0
3118.0,7.7,7.9,262.0,2.4,0.0,3020.0
3122.0,8.0,8.0,377.0,2.4,0.0,5073.0
3123.0,7.7,7.9,292.0,2.3,0.0,2833.0
1080.0,7.4,7.9,304.0,4.2,0.8,287833.0
2511.0,7.4,7.9,353.0,3.3,0.7,474917.0
2506.0,6.9,8.0,312.0,2.8,0.8,61283.0
1054.0,6.7,7.8,315.0,3.4,0.9,171417.0
1472.0,6.0,7.9,323.0,3.1,0.7,335000.0
1053.0,6.7,8.0,319.0,4.2,0.7,586250.0
1471.0,6.3,8.0,314.0,3.6,0.7,286083.0
1470.0,6.1,8.1,322.0,3.2,0.7,542917.0
1052.0,6.3,8.1,368.0,3.4,0.6,78083.0
1469.0,6.9,8.0,1900.0,3.7,0.8,88917.0
1260.0,7.2,7.1,216.0,1.5,1.4,5525.0
1030.0,7.7,7.2,256.0,1.4,1.5,45100.0
1262.0,6.9,7.0,273.0,1.5,2.5,26322.0
1526.0,7.5,7.0,298.0,1.3,1.7,93005.0
1031.0,7.9,7.2,236.0,1.4,2.3,134042.0
1299.0,6.0,7.3,295.0,1.1,1.9,8382.0
2069.0,8.1,7.6,210.0,0.9,1.2,123400.0
2064.0,7.3,7.1,168.0,1.6,0.4,61303.0
2067.0,7.1,7.2,289.0,1.6,1.4,8725.0
2066.0,5.1,7.0,253.0,1.5,1.4,180228.0
1194.0,6.8,8.1,160.0,3.1,2.9,387.0
36.0,6.0,8.2,262.0,5.1,1.8,1357.0
1906.0,6.7,7.6,441.0,2.9,1.5,80.0
1310.0,7.0,7.5,400.0,2.8,1.2,110.0
2187.0,6.1,8.4,551.0,5.6,2.3,1377.0
2188.0,6.2,8.3,458.0,4.6,2.3,1481.0
2190.0,6.1,8.2,413.0,5.5,1.8,1257.0
1182.0,7.5,8.0,685.0,2.1,2.3,1390.0
1889.0,7.5,8.0,808.0,1.8,2.1,1460.0
1181.0,5.9,8.3,521.0,1.5,0.4,1110.0
