STATION CODE,LOCATIONS,STATE,TEMP,DO,pH,CONDUCTIVITY,BOD,NITRATE_N_NITRITE_N,FECAL_COLIFORM,TOTAL_COLIFORM
1312,"GODAVARI AT JAYAKWADI DAM, AURNaNGABAD,MAHARASHTRA",MAHARASHTRA,29.2,6.4,8.1,735,3.4,2,3,73
2177,GODAVARI RIVER NEAR SOMESHWAR TEMPLE.,MAHARASHTRA,24.5,6,8,270,3.1,2,72,182
2182,GODAVARI RIVER AT SAIKHEDA.,MAHARASHTRA,25.8,5.5,7.8,355,4.2,9,59,133
2179,"GODAVARI RIVER AT HANUMAN GHAT, NaNSHIK CITY.",MAHARASHTRA,24.8,5.5,7.8,371,5.6,3.55,90,283
2183,GODAVARI RIVER AT NaNDUR- MADMESHWAR DAM.,MAHARASHTRA,25.7,5.7,7.9,294,3.2,2.69,45,132
2181,"GODAVARI RIVER AT KAPILA- GODAVARI CONFLUENCE POINT, TAPOVAN.",MAHARASHTRA,25,4.5,7.5,513,12.6,2.3,131,320
2180,GODAVARI RIVER NEAR TAPOVAN.,MAHARASHTRA,24.8,5.2,7.7,475,10.3,1.9,122,343
1096,"GODAVARI AT PANCHAVATI AT RAMKUND,MAHARASHTRA",MAHARASHTRA,26.3,5.6,7.7,385,3.8,1,110,292
1211,"GODAVARI AT NaNSIK D/S, MAHARASHTRA",MAHARASHTRA,26.5,5.2,7.8,410,5.2,1.5,77,218
1095,"GODAVARI AT U/S OF GANGAPUR DAM,NaNSIK,MAHARASHTRA",MAHARASHTRA,26,6.5,7.8,178,2.5,1.99,22,74
2160,"GODAVARI RIVER AT U/S OF AURANGABAD RESERVOIR, KAIGAON TOKKA NEAR KAIGAON BRIDGE.",MAHARASHTRA,29.2,6.2,7.9,749,3.5,1.75,2,80
2158,GODAVARI RIVER AT U/S OF PAITHAN AT PAITHAN INTAKE PUMP HOUSE AT JAYAKWADI ,MAHARASHTRA,29.5,6.4,8,834,4.7,1.8,2,77
2159,GODAVARI RIVER AT D/S OF PAITHAN AT PATHEGAON BRIDGE.,MAHARASHTRA,30.2,6.2,8,925,4.2,6.9,2,82
2161,"GODAVARI RIVER AT JALNaN INTAKE WATER PUMP HOUSE, SHAHABAD.",MAHARASHTRA,26.7,6.5,8,730,4,2.9,2,78
12,"GODAVARI AT DHALEGAON, MAHARASHTRA",MAHARASHTRA,27.2,7,7.9,637,4.7,6.5,2,80
1209,"GODAVARI AT RAHER, MAHARASHTRA",MAHARASHTRA,29.7,6.4,8,656,3.6,1.8,3,82
