,STATION CODE,Potability
0,1312.0,0
1,2177.0,0
2,2182.0,0
3,2179.0,0
4,2183.0,0
5,2181.0,0
6,2180.0,0
7,1096.0,0
8,1211.0,0
9,1095.0,0
10,2160.0,0
11,2158.0,0
12,2159.0,0
13,2161.0,0
14,12.0,0
15,1209.0,0
16,2157.0,0
17,2360.0,0
18,2361.0,0
19,2362.0,0
20,2363.0,0
21,2364.0,0
22,2356.0,0
23,2365.0,0
24,2366.0,0
25,13.0,0
26,2367.0,1
27,2368.0,0
28,2369.0,1
29,2370.0,1
31,1218.0,0
32,2371.0,1
43,1062.0,1
44,2488.0,1
45,2489.0,1
46,1145.0,0
47,2490.0,1
48,1063.0,1
49,1066.0,0
50,1146.0,0
51,1067.0,0
52,1068.0,0
53,1147.0,0
54,2498.0,0
55,1046.0,0
56,2487.0,0
57,1049.0,0
58,2485.0,1
59,2486.0,0
60,1070.0,1
61,1071.0,0
62,1073.0,0
63,2502.0,0
64,1074.0,1
65,2551.0,0
66,1077.0,1
67,2556.0,1
68,2564.0,1
69,2552.0,0
70,1079.0,0
71,2555.0,1
72,2553.0,1
73,1817.0,1
74,1815.0,0
75,1818.0,1
76,2554.0,1
77,1819.0,0
78,1816.0,0
79,3113.0,1
80,3114.0,1
81,3115.0,1
82,3116.0,1
83,3117.0,1
84,3118.0,1
85,3122.0,0
86,3123.0,1
87,1080.0,0
88,2511.0,0
89,2506.0,0
90,1054.0,0
91,1472.0,0
92,1053.0,0
93,1471.0,0
94,1470.0,0
95,1052.0,0
96,1469.0,0
97,1260.0,0
98,1030.0,0
99,1262.0,0
100,1526.0,0
101,1031.0,0
102,1299.0,0
103,2069.0,0
104,2064.0,0
105,2067.0,0
106,2066.0,0
107,1194.0,0
109,36.0,0
110,1906.0,0
112,1310.0,0
113,2187.0,0
114,2188.0,0
115,2190.0,0
116,1182.0,1
117,1889.0,1
118,1181.0,1
119,1170.0,1
120,1028.0,1
121,2781.0,1
123,1175.0,1
125,1465.0,1
126,1786.0,1
127,1787.0,1
128,25.0,1
129,3083.0,1
130,1782.0,1
133,1553.0,1
134,1554.0,1
138,2495.0,0
139,2494.0,0
140,2493.0,0
141,1069.0,0
143,1893.0,1
144,1199.0,1
146,1166.0,1
147,1165.0,0
148,2778.0,0
149,1196.0,0
150,2772.0,1
151,1207.0,0
152,1197.0,1
153,41.0,1
154,1445.0,1
155,2775.0,1
156,1208.0,0
157,1201.0,0
158,1204.0,0
159,1321.0,0
160,1205.0,0
161,3019.0,0
162,3020.0,0
163,3021.0,0
164,1510.0,1
165,2620.0,1
166,2626.0,1
167,2627.0,1
168,2621.0,1
169,2622.0,1
170,2623.0,1
171,2617.0,1
172,2618.0,1
173,2619.0,1
175,1358.0,0
176,1357.0,0
177,1143.0,0
180,1735.0,0
181,1356.0,0
184,2955.0,0
186,1288.0,1
187,1289.0,1
188,1413.0,0
192,2954.0,0
194,1367.0,0
198,2953.0,0
199,2956.0,0
201,2117.0,0
205,2950.0,1
207,2952.0,0
209,2946.0,0
210,1947.0,0
211,2229.0,1
212,2231.0,1
213,2232.0,1
214,2233.0,0
215,2234.0,0
216,2236.0,1
217,2238.0,1
218,2239.0,0
219,2240.0,1
220,2241.0,0
221,2242.0,0
222,2523.0,0
223,2524.0,0
224,2235.0,0
232,1064.0,0
234,1065.0,0
235,2482.0,0
236,2483.0,0
237,1361.0,0
238,2484.0,0
239,1350.0,1
240,1351.0,0
241,1352.0,0
242,1353.0,0
243,1072.0,0
244,2491.0,0
245,1363.0,0
246,1354.0,0
247,1355.0,0
248,2492.0,0
249,1076.0,1
250,1359.0,1
251,1360.0,1
252,1075.0,1
253,3121.0,1
254,3127.0,1
255,3128.0,1
256,1078.0,1
257,2568.0,1
258,2570.0,1
259,3124.0,1
260,3125.0,1
261,2575.0,0
262,1820.0,0
263,3134.0,0
264,2562.0,1
265,2558.0,0
266,3126.0,1
267,2567.0,1
268,2569.0,1
269,3133.0,1
270,2563.0,0
271,2565.0,1
272,2566.0,1
273,3137.0,1
274,1821.0,1
275,2560.0,0
276,2561.0,1
277,3129.0,0
278,1823.0,1
279,1824.0,1
280,2559.0,0
281,3130.0,1
282,1822.0,0
283,3132.0,1
284,3135.0,1
286,3119.0,1
287,3120.0,1
288,3136.0,0
289,1023.0,0
290,1024.0,0
291,1295.0,0
292,1473.0,0
293,1698.0,0
294,1699.0,0
295,1700.0,0
296,1701.0,0
297,1702.0,0
298,1703.0,0
299,1704.0,0
300,1705.0,0
301,1718.0,0
302,1871.0,1
303,2624.0,1
304,2625.0,1
305,1870.0,0
306,2947.0,0
307,1717.0,1
308,2948.0,0
309,2949.0,1
310,2651.0,0
311,1461.0,0
312,2653.0,0
313,2654.0,0
314,1092.0,0
315,2670.0,0
316,1152.0,0
317,2198.0,0
318,2671.0,0
319,2672.0,0
320,2168.0,0
322,1151.0,0
323,1462.0,0
324,2685.0,0
325,2686.0,0
326,2687.0,0
327,2688.0,0
328,2689.0,0
329,2696.0,0
335,2706.0,0
336,2707.0,0
337,2708.0,0
338,2709.0,0
339,1093.0,0
340,1094.0,0
341,2162.0,0
342,2712.0,0
350,1189.0,0
351,2655.0,0
352,2656.0,0
353,1190.0,0
354,1191.0,0
355,1192.0,0
356,1188.0,0
357,28.0,0
358,1183.0,0
359,1184.0,0
360,1167.0,1
361,1888.0,0
362,1399.0,0
363,1475.0,0
364,3181.0,0
365,3182.0,0
366,1400.0,1
367,1476.0,0
368,3185.0,0
369,3186.0,1
370,3187.0,1
371,1543.0,0
372,1548.0,1
373,2276.0,0
374,2275.0,0
375,3189.0,0
376,1546.0,1
377,2270.0,1
378,2272.0,0
379,1545.0,1
380,2274.0,0
